Adapter,InternalProduct,Exchange,Prefix,TradingExchangeZoneIndex,Currency,PointValue,MinMove,LotSize,ExchangeRateXxxUsd,CommissionOnRate, CommissionPerShareInXxx, MinCommissionInXxx, MaxCommissionInXxx, StampDutyRate, SlippagePoints,Product,FlatTodayDiscount,Margin,IsLive
CTP,CSI300,CFFEX,Futures,210,CNY,300,0.2,1,0.15,0.000023,0,0,10000,0,2,IF,1,12,TRUE
CTP,CSI500,CFFEX,Futures,210,CNY,200,0.2,1,0.15,0.000023,0,0,10000,0,5,IC,1,14,TRUE
CTP,SSE50,CFFEX,Futures,210,CNY,300,0.2,1,0.15,0.000023,0,0,10000,0,5,IH,1,12,TRUE
CTP,TF,CFFEX,Futures,210,CNY,10000,0.005,1,0.15,0,3,0,10000,0,1,TF,1,1.2,TRUE
CTP,TS,CFFEX,Futures,210,CNY,20000,0.005,1,0.15,0,3,0,10000,0,1,TS,1,0.5,TRUE
CTP,TT,CFFEX,Futures,210,CNY,10000,0.005,1,0.15,0,3,0,10000,0,1,T,1,2,TRUE
CTP,ZZAP,CZCE,Futures,210,CNY,10,1,1,0.15,0,10,0,10000,0,1,AP,1,10,TRUE
CTP,ZZCF,CZCE,Futures,210,CNY,5,5,1,0.15,0,6,0,10000,0,1,CF,1,10,TRUE
CTP,ZZCJ,CZCE,Futures,210,CNY,5,5,1,0.15,0,3,0,10000,0,1,CJ,1,10,TRUE
CTP,ZZCY,CZCE,Futures,210,CNY,5,5,1,0.15,0,4,0,10000,0,1,CY,1,10,TRUE
CTP,ZZER,CZCE,Futures,210,CNY,10,1,1,0.15,0,3,0,10000,0,1,ER,1,10,TRUE
CTP,ZZFG,CZCE,Futures,210,CNY,20,1,1,0.15,0,3,0,10000,0,1,FG,1,10,TRUE
CTP,ZZJR,CZCE,Futures,210,CNY,20,1,1,0.15,0,3,0,10000,0,1,JR,1,10,TRUE
CTP,ZZLR,CZCE,Futures,210,CNY,20,1,1,0.15,0,3,0,10000,0,1,LR,1,10,TRUE
CTP,ZZMA,CZCE,Futures,210,CNY,10,1,1,0.15,0,2,0,10000,0,1,MA,1,10,TRUE
CTP,ZZME,CZCE,Futures,210,CNY,50,1,1,0.15,0,10,0,10000,0,1,ME,1,10,TRUE
CTP,ZZOI,CZCE,Futures,210,CNY,10,1,1,0.15,0,2,0,10000,0,1,OI,1,10,TRUE
CTP,ZZPF,CZCE,Futures,210,CNY,5,1,1,0.15,0,3,0,10000,0,1,PF,1,10,TRUE
CTP,ZZPK,CZCE,Futures,210,CNY,5,2,1,0.15,0,4,0,10000,0,1,PK,1,10,TRUE
CTP,ZZPM,CZCE,Futures,210,CNY,50,1,1,0.15,0,5,0,10000,0,1,PM,1,10,TRUE
CTP,ZZRI,CZCE,Futures,210,CNY,20,1,1,0.15,0,6,0,10000,0,1,RI,1,10,TRUE
CTP,ZZRM,CZCE,Futures,210,CNY,10,1,1,0.15,0,3,0,10000,0,1,RM,1,10,TRUE
CTP,ZZRO,CZCE,Futures,210,CNY,5,2,1,0.15,0,2,0,10000,0,1,RO,1,10,TRUE
CTP,ZZRS,CZCE,Futures,210,CNY,10,1,1,0.15,0,2,0,10000,0,1,RS,1,10,TRUE
CTP,ZZSA,CZCE,Futures,210,CNY,20,1,1,0.15,0,3.5,0,10000,0,1,SA,1,10,TRUE
CTP,ZZSF,CZCE,Futures,210,CNY,5,2,1,0.15,0,3,0,10000,0,1,SF,1,10,TRUE
CTP,ZZSM,CZCE,Futures,210,CNY,5,2,1,0.15,0,3,0,10000,0,1,SM,1,10,TRUE
CTP,ZZSR,CZCE,Futures,210,CNY,10,1,1,0.15,0,3,0,10000,0,1,SR,1,10,TRUE
CTP,ZZTA,CZCE,Futures,210,CNY,5,2,1,0.15,0,3,0,10000,0,1,TA,1,10,TRUE
CTP,ZZTC,CZCE,Futures,210,CNY,100,0.2,1,0.15,0,4,0,10000,0,1,ZC,1,10,TRUE
CTP,ZZUR,CZCE,Futures,210,CNY,20,1,1,0.15,0,5,0,10000,0,1,UR,1,10,TRUE
CTP,ZZWH,CZCE,Futures,210,CNY,20,1,1,0.15,0,2.5,0,10000,0,1,WH,1,10,TRUE
CTP,ZZWS,CZCE,Futures,210,CNY,10,1,1,0.15,0,2,0,10000,0,1,WS,1,10,TRUE
CTP,ZZWT,CZCE,Futures,210,CNY,10,1,1,0.15,0,2,0,10000,0,1,WT,1,10,TRUE
CTP,DLa,DCE,Futures,210,CNY,10,1,1,0.15,0,2,0,10000,0,1,a,1,10,TRUE
CTP,DLb,DCE,Futures,210,CNY,10,1,1,0.15,0,1,0,10000,0,1,b,1,10,TRUE
CTP,DLbb,DCE,Futures,210,CNY,500,0.05,1,0.15,0.0001,0,0,10000,0,1,bb,1,10,TRUE
CTP,DLc,DCE,Futures,210,CNY,10,1,1,0.15,0,1.2,0,10000,0,1,c,1,10,TRUE
CTP,DLcs,DCE,Futures,210,CNY,10,1,1,0.15,0,1.5,0,10000,0,1,cs,1,10,TRUE
CTP,DLeb,DCE,Futures,210,CNY,5,1,1,0.15,0,3,0,10000,0,1,eb,1,10,TRUE
CTP,DLeg,DCE,Futures,210,CNY,10,1,1,0.15,0,3,0,10000,0,1,eg,1,10,TRUE
CTP,DLfb,DCE,Futures,210,CNY,10,0.5,1,0.15,0.0001,0,0,10000,0,1,fb,1,10,TRUE
CTP,DLi,DCE,Futures,210,CNY,100,0.5,1,0.15,0.0001,0,0,10000,0,1,i,1,10,TRUE 
CTP,DLj,DCE,Futures,210,CNY,100,0.5,1,0.15,0.0001,0,0,10000,0,1,j,1,10,TRUE
